"","chamber","congress","year","party.mean.diff.d1","repub.dim1","dem.dim1","party.mean.diff.d2","repub.dim2","dem.dim2"
"1","Senate",51,1889,NA,3.125300176,NA,NA,0.632648099,NA
"2","Senate",52,1891,NA,3.125300176,NA,NA,0.632648099,NA
"3","Senate",54,1895,NA,3.125300176,NA,NA,0.632648099,NA
"4","Senate",55,1897,NA,3.125300176,NA,NA,0.632648099,NA
"5","Senate",56,1899,NA,3.125300176,NA,NA,0.632648099,NA
"6","Senate",57,1901,3.12318847,3.125300176,0.002111706,0.95153376,0.632648099,-0.318885661
"7","Senate",58,1903,2.496861161,2.626172406,0.129311245,0.8794802085,0.600157552,-0.2793226565
"8","Senate",59,1905,2.083997632,2.213308877,0.129311245,0.8149199845,0.535597328,-0.2793226565
"9","Senate",60,1907,0.947056519083333,1.40990250275,0.462845983666667,0.741662062583333,0.53215587925,-0.209506183333333
"10","Senate",61,1909,0.796821568166667,1.18805317616667,0.391231608,0.796544485666667,0.570352633333333,-0.226191852333333
"11","Senate",62,1911,1.4275394984,1.597757351,0.1702178526,0.7681330145,0.528565845,-0.2395671695
"12","Senate",63,1913,0.805962158357143,1.02177605,0.215813891642857,0.670340339142857,0.484109809,-0.186230530142857
"13","Senate",64,1915,1.01844002198214,1.234253913625,0.215813891642857,0.606093468517857,0.419862938375,-0.186230530142857
"14","Senate",65,1917,0.959650667890351,1.30544279041667,0.345792122526316,0.599268743614035,0.471172167666667,-0.128096575947368
"15","Senate",66,1919,1.0514590179058,1.35516905316667,0.30371003526087,0.704845260741546,0.566634082611111,-0.138211178130435
"16","Senate",67,1921,0.719630810336539,1.099679298375,0.380048488038462,0.706339948621795,0.561180236083333,-0.145159712538462
"17","Senate",68,1923,0.744549260085859,1.04565714069697,0.301107880611111,0.678847554010101,0.585688058454545,-0.0931594955555556
"18","Senate",69,1925,0.56542642573314,0.87583374655814,0.310407320825,0.711749568930814,0.588785104255814,-0.122964464675
"19","Senate",70,1927,0.628310783585106,0.8355988075,0.207288023914894,0.725631972342062,0.595240620384615,-0.130391351957447
"20","Senate",71,1929,0.99954725913042,1.14641094010769,0.146863680977273,0.726537555944406,0.620173042830769,-0.106364513113636
"21","Senate",72,1931,0.871230905912917,0.914703754528302,0.0434728486153846,0.6800818159873,0.618365425660377,-0.0617163903269231
"22","Senate",73,1933,0.905679579416599,0.794180797447368,-0.111498781969231,0.682918508176113,0.627237325868421,-0.0556811823076923
"23","Senate",74,1935,0.476418444111111,0.357329736111111,-0.119088708,0.663214775432593,0.615310433592593,-0.04790434184
"24","Senate",75,1937,0.313623543297561,0.1168641742,-0.196759369097561,0.788572768309756,0.6539275797,-0.134645188609756
"25","Senate",76,1939,0.456105903899543,0.244601176666667,-0.211504727232877,0.803923381790868,0.680773214133333,-0.123150167657534
"26","Senate",77,1941,0.493728046009722,0.242240062064516,-0.251487983945205,0.913817425794079,0.740124221451613,-0.173693204342466
"27","Senate",78,1943,0.851617958344961,0.620458258511628,-0.231159699833333,0.890141784399612,0.779171495116279,-0.110970289283333
"28","Senate",79,1945,0.762728795256172,0.566023583302326,-0.196705211953846,0.933368725899106,0.763491849883721,-0.169876876015385
"29","Senate",80,1947,0.858597303301627,0.739497824705882,-0.119099478595745,0.956924729316646,0.796638554529412,-0.160286174787234
"30","Senate",81,1949,1.09310548119254,0.591236149553191,-0.501869331639344,0.931576372788978,0.821111178723404,-0.110465194065574
"31","Senate",82,1951,1.04376716641667,0.635760251083333,-0.408006915333333,0.899361670514706,0.80174337975,-0.0976182907647059
"32","Senate",83,1953,1.05704454764815,0.611797277277778,-0.44524727037037,0.900153839666667,0.81469244212963,-0.085461397537037
"33","Senate",84,1955,1.19125655968494,0.548880882723404,-0.642375676961538,0.886059043809738,0.793749804021277,-0.0923092397884615
"34","Senate",85,1957,1.04113085420676,0.444891364791667,-0.596239489415094,0.850349612217767,0.780708448708333,-0.069641163509434
"35","Senate",86,1959,1.19593311265837,0.256360165777778,-0.939572946880597,0.748868711119403,0.714597051,-0.034271660119403
"36","Senate",87,1961,1.28987733636154,0.3343780863,-0.955499250061538,0.745725279746154,0.7126162769,-0.0331090028461538
"37","Senate",88,1963,1.3855653664137,0.270606377181818,-1.11495898923188,0.725692559880105,0.701992313242424,-0.0237002466376812
"38","Senate",89,1965,1.52709461448615,0.357243461757576,-1.16985115272857,0.684908403679654,0.678784895393939,-0.00612350828571429
"39","Senate",90,1967,1.33834668892187,0.114973923,-1.22337276592187,0.65151723871326,0.645839006135135,-0.005678232578125
"40","Senate",91,1969,1.30259310627821,0.0740062862954545,-1.22858681998276,0.613758641288401,0.616558523409091,0.00279988212068966
"41","Senate",92,1971,1.20132669540351,0.0326528366666667,-1.16867385873684,0.621323967859649,0.623023664,0.00169969614035088
"42","Senate",93,1973,1.73401841439976,0.30634612027907,-1.42767229412069,0.582952637903368,0.606804385093023,0.0238517471896552
"43","Senate",94,1975,1.82341617865365,0.342957453105263,-1.48045872554839,0.561213104075552,0.600873187736842,0.0396600836612903
"44","Senate",95,1977,1.72000754497927,0.284216473236842,-1.43579107174242,0.582535271173046,0.617581841157895,0.0350465699848485
"45","Senate",96,1979,1.73605401094919,0.297751206365854,-1.43830280458333,0.620004699878862,0.664519893512195,0.0445151936333333
"46","Senate",97,1981,1.91371245991805,0.565009195407407,-1.34870326451064,0.671769465891647,0.71405178487037,0.0422823189787234
"47","Senate",98,1983,1.99067738274704,0.578155356181818,-1.41252202656522,0.675042759450988,0.717786126472727,0.0427433670217391
"48","Senate",99,1985,2.13489628234043,0.659472034,-1.47542424834043,0.69824080128093,0.732018442685185,0.0337776414042553
"49","Senate",100,1987,2.04464897906443,0.588477957282609,-1.45617102178182,0.706465719571937,0.736932315717391,0.0304665961454545
"50","Senate",101,1989,2.21883697851242,0.659244147869565,-1.55959283064286,0.716353579416925,0.750778542434783,0.0344249630178571
"51","Senate",102,1991,2.25727622968966,0.6644143925,-1.59286183718966,0.729716152070533,0.760686948863636,0.0309707967931034
"52","Senate",103,1993,2.34754030253216,0.776272404777778,-1.57126789775439,0.740688974501754,0.760345277133333,0.0196563026315789
"53","Senate",104,1995,2.53663876930985,0.883256855018182,-1.65338191429167,0.771707319271591,0.785953961709091,0.0142466424375
"54","Senate",105,1997,2.82361090461616,1.04851412312727,-1.77509678148889,0.802096811830303,0.818761778363636,0.0166649665333333
"55","Senate",106,1999,2.6664924292632,0.983636946589286,-1.68285548267391,0.771351355569876,0.808048132678571,0.0366967771086956
"56","Senate",107,2001,2.73954250364,1.03763774344,-1.7019047602,0.76214142978,0.80617028738,0.0440288576
"57","Senate",108,2003,2.66050395597549,0.94810503072549,-1.71239892525,0.77117647952451,0.814303053607843,0.0431265740833333
"58","Senate",109,2005,2.98674620893737,1.09947239458182,-1.88727381435556,0.782193023090909,0.818420803090909,0.03622778
"59","Senate",110,2007,3.00536375709098,1.20456265645098,-1.80080110064,0.770486630721177,0.821643509941177,0.05115687922
"60","Senate",111,2009,3.23284247311364,1.23327215256818,-1.99957032054545,0.692231102,0.810626279954546,0.118395177954545
"61","Senate",112,2011,3.21673469776061,1.4002920470625,-1.81644265069811,0.666860903119104,0.7233610910625,0.0565001879433962
"62","Senate",113,2013,3.38281174531998,1.47390231302174,-1.90890943229825,0.727026914516018,0.770039659673913,0.0430127451578947
"63","Senate",114,2015,3.4690701998771,1.50394177274074,-1.96512842713636,0.696965610260943,0.702252849851852,0.00528723959090909
"64","Senate",115,2017,3.53898957361553,1.55296757563636,-1.98602199797917,0.717270243257197,0.727070753236364,0.00980050997916667
"65","Senate",116,2019,3.65932738040546,1.57834215652174,-2.08098522388372,0.804750965959555,0.728073995913043,-0.0766769700465116
"66","Senate",117,2021,3.70407932759146,1.59569608525,-2.10838324234146,0.822210188728049,0.71357735585,-0.108632832878049
